"p_C_BP_True";"p_C_BP_Ref";"p_C_BP_New";"p_C_BP_Split";"p_I_BP_True";"p_I_BP_Ref";"p_I_BP_New";"p_I_BP_Split";"treatment_True";"treatment_Ref";"treatment_New";"treatment_Split";"SD_p_C_BP_True";"SD_p_C_BP_Ref";"SD_p_C_BP_New";"SD_p_C_BP_Split";"SD_p_I_BP_True";"SD_p_I_BP_Ref";"SD_p_I_BP_New";"SD_p_I_BP_Split";"Bias_Treat_Ref";"Bias_Treat_New";"Bias_Treat_Split";"RMSE_Treat_Ref";"RMSE_Treat_New";"RMSE_Treat_Split";"CutOff_True";"CutOff_Ref";"CutOff_New";"CutOff_Split";"SD_CutOff_Ref";"SD_CutOff_New";"SD_CutOff_Split";"groupsize_C_BP_True";"groupsize_C_BP_Ref";"groupsize_C_BP_New";"groupsize_C_BP_Split";"groupsize_I_BP_True";"groupsize_I_BP_Ref";"groupsize_I_BP_New";"groupsize_I_BP_Split";"specificity_C_True";"specificity_C_Ref";"specificity_C_New";"specificity_C_Split";"specificity_I_True";"specificity_I_Ref";"specificity_I_New";"specificity_I_Split";"sensitivity_C_True";"sensitivity_C_Ref";"sensitivity_C_New";"sensitivity_C_Split";"sensitivity_I_True";"sensitivity_I_Ref";"sensitivity_I_New";"sensitivity_I_Split"
0.317;0.347;0.361;0.355;0.212;0.231;0.231;0.237;0.105;0.116;0.13;0.118;0.057;0.11;0.122;0.152;0.05;0.082;0.083;0.101;0.0103;0.0247;0.0128;0.049;0.0574;0.0922;23.988;25.338;25.328;25.667;5.451;5.455;7.456;67.5;65.5;66;33.4;67.5;65.5;65.5;66.7;0.638;0.65;0.653;0.638;0.639;0.65;0.65;0.639;0.95;0.927;0.968;0.918;0.95;0.927;0.927;0.916
0.317;0.337;0.345;0.331;0.211;0.225;0.224;0.221;0.105;0.112;0.121;0.11;0.049;0.094;0.097;0.129;0.043;0.07;0.07;0.084;0.0067;0.0159;0.0047;0.0382;0.0446;0.0713;23.988;24.855;24.769;24.285;4.637;4.663;6.504;90;88.7;89.6;47.3;89.9;88.7;89.2;94.6;0.638;0.643;0.643;0.608;0.638;0.643;0.64;0.608;0.95;0.934;0.966;0.932;0.95;0.934;0.935;0.932
0.317;0.329;0.337;0.337;0.211;0.219;0.219;0.224;0.106;0.11;0.118;0.113;0.044;0.082;0.091;0.118;0.039;0.062;0.061;0.077;0.0038;0.0124;0.0072;0.0325;0.0367;0.0611;23.988;24.434;24.41;24.661;4.17;4.155;5.945;112.4;112.9;113.5;57.2;112.4;112.9;113.1;114.5;0.639;0.635;0.636;0.626;0.639;0.634;0.634;0.625;0.95;0.939;0.965;0.931;0.95;0.939;0.939;0.931
0.317;0.331;0.338;0.345;0.212;0.221;0.221;0.23;0.106;0.11;0.117;0.115;0.04;0.076;0.082;0.109;0.035;0.056;0.057;0.072;0.0047;0.0115;0.0092;0.0294;0.0332;0.057;23.988;24.596;24.591;25.265;3.79;3.793;5.398;134.8;133.4;133.9;65.6;134.9;133.5;133.5;131.4;0.639;0.643;0.644;0.649;0.639;0.642;0.642;0.649;0.95;0.939;0.96;0.928;0.95;0.939;0.939;0.927
0.318;0.326;0.332;0.336;0.211;0.217;0.217;0.224;0.106;0.109;0.115;0.112;0.035;0.065;0.071;0.092;0.03;0.048;0.048;0.061;0.0026;0.0081;0.0056;0.0237;0.0263;0.0489;23.988;24.333;24.359;24.793;3.264;3.27;4.59;179.8;179.6;179.8;89;179.8;179.6;179.3;177.8;0.639;0.638;0.64;0.642;0.639;0.638;0.639;0.642;0.95;0.943;0.958;0.935;0.95;0.943;0.942;0.935
0.317;0.322;0.324;0.325;0.211;0.215;0.214;0.217;0.106;0.108;0.11;0.108;0.025;0.048;0.052;0.068;0.022;0.035;0.035;0.044;0.0016;0.0043;0.0025;0.0161;0.0177;0.0328;23.988;24.21;24.174;24.331;2.378;2.409;3.387;337.2;336.3;337.5;168.6;337.1;336.1;337;337.2;0.639;0.639;0.639;0.637;0.639;0.64;0.638;0.637;0.95;0.946;0.954;0.942;0.95;0.946;0.946;0.942
0.317;0.32;0.321;0.322;0.211;0.213;0.213;0.215;0.106;0.107;0.108;0.107;0.018;0.034;0.036;0.048;0.016;0.025;0.025;0.031;8e-04;0.0022;0.0015;0.0109;0.0115;0.0224;23.988;24.094;24.09;24.187;1.71;1.697;2.395;674;673.5;674.1;336.6;674.2;673.6;673.7;673.3;0.639;0.639;0.639;0.639;0.639;0.639;0.639;0.639;0.95;0.948;0.952;0.946;0.95;0.948;0.948;0.946
0.317;0.318;0.318;0.318;0.211;0.212;0.212;0.212;0.106;0.106;0.106;0.106;0.01;0.018;0.02;0.026;0.009;0.014;0.013;0.017;2e-04;7e-04;6e-04;0.0056;0.0057;0.0119;23.988;24.016;24.023;24.05;0.929;0.924;1.308;2247.8;2247.6;2247;1123.4;2248;2247.9;2246.8;2247;0.639;0.639;0.639;0.639;0.639;0.639;0.639;0.639;0.95;0.949;0.951;0.949;0.95;0.949;0.949;0.949
