"p_C_BP_True";"p_C_BP_Ref";"p_C_BP_New";"p_C_BP_Split";"p_I_BP_True";"p_I_BP_Ref";"p_I_BP_New";"p_I_BP_Split";"treatment_True";"treatment_Ref";"treatment_New";"treatment_Split";"SD_p_C_BP_True";"SD_p_C_BP_Ref";"SD_p_C_BP_New";"SD_p_C_BP_Split";"SD_p_I_BP_True";"SD_p_I_BP_Ref";"SD_p_I_BP_New";"SD_p_I_BP_Split";"Bias_Treat_Ref";"Bias_Treat_New";"Bias_Treat_Split";"RMSE_Treat_Ref";"RMSE_Treat_New";"RMSE_Treat_Split";"CutOff_True";"CutOff_Ref";"CutOff_New";"CutOff_Split";"SD_CutOff_Ref";"SD_CutOff_New";"SD_CutOff_Split";"groupsize_C_BP_True";"groupsize_C_BP_Ref";"groupsize_C_BP_New";"groupsize_C_BP_Split";"groupsize_I_BP_True";"groupsize_I_BP_Ref";"groupsize_I_BP_New";"groupsize_I_BP_Split";"specificity_C_True";"specificity_C_Ref";"specificity_C_New";"specificity_C_Split";"specificity_I_True";"specificity_I_Ref";"specificity_I_New";"specificity_I_Split";"sensitivity_C_True";"sensitivity_C_Ref";"sensitivity_C_New";"sensitivity_C_Split";"sensitivity_I_True";"sensitivity_I_Ref";"sensitivity_I_New";"sensitivity_I_Split"
0.317;0.322;0.324;0.325;0.211;0.215;0.214;0.217;0.106;0.108;0.11;0.108;0.025;0.048;0.052;0.068;0.022;0.035;0.035;0.044;0.0016;0.0043;0.0025;0.0161;0.0177;0.0328;23.988;24.21;24.174;24.331;2.378;2.409;3.387;337.2;336.3;337.5;168.6;337.1;336.1;337;337.2;0.639;0.639;0.639;0.637;0.639;0.64;0.638;0.637;0.95;0.946;0.954;0.942;0.95;0.946;0.946;0.942
0.397;0.399;0.402;0.403;0.198;0.2;0.2;0.201;0.198;0.2;0.202;0.202;0.026;0.046;0.05;0.065;0.021;0.028;0.028;0.034;0.0013;0.0039;0.0033;0.0206;0.022;0.0375;23.988;24.09;24.123;24.227;2.062;2.08;2.938;359.3;359.9;359.7;179.7;359.2;359.6;359.1;359.5;0.639;0.637;0.639;0.637;0.639;0.638;0.638;0.637;0.95;0.947;0.953;0.945;0.95;0.948;0.947;0.944
0.467;0.469;0.471;0.471;0.187;0.187;0.187;0.188;0.28;0.281;0.284;0.283;0.026;0.044;0.047;0.062;0.02;0.025;0.025;0.029;0.0012;0.0033;0.0026;0.0225;0.0235;0.0396;23.988;24.078;24.091;24.182;1.85;1.865;2.629;381.4;381.6;381.8;190.7;381.3;381.4;381.2;381.3;0.639;0.638;0.639;0.637;0.639;0.638;0.638;0.637;0.95;0.948;0.953;0.945;0.95;0.948;0.948;0.946
0.53;0.531;0.533;0.533;0.177;0.177;0.177;0.178;0.353;0.354;0.356;0.356;0.025;0.041;0.044;0.058;0.019;0.022;0.022;0.024;0.0011;0.0028;0.0025;0.023;0.0234;0.0387;23.988;24.072;24.079;24.167;1.701;1.697;2.398;403.4;403.2;403.6;201.5;403.3;403.2;403.1;402.8;0.639;0.638;0.639;0.638;0.639;0.638;0.639;0.638;0.95;0.948;0.952;0.946;0.95;0.948;0.948;0.946
0.637;0.637;0.639;0.638;0.159;0.159;0.159;0.16;0.477;0.478;0.479;0.478;0.023;0.034;0.037;0.049;0.017;0.018;0.018;0.02;4e-04;0.0018;6e-04;0.0204;0.0207;0.0348;23.988;24.04;24.052;24.103;1.455;1.462;2.05;447.5;447.4;447.7;223.6;447.6;447.5;447.3;447.2;0.639;0.638;0.639;0.638;0.639;0.638;0.639;0.638;0.95;0.949;0.952;0.947;0.95;0.949;0.949;0.947
0.724;0.724;0.725;0.725;0.145;0.145;0.145;0.145;0.579;0.579;0.58;0.58;0.02;0.029;0.03;0.04;0.016;0.016;0.016;0.017;-1e-04;0.001;1e-04;0.017;0.0173;0.03;23.988;24.007;24.017;24.035;1.306;1.305;1.836;491.6;491.7;492.1;245.8;491.6;491.7;491.6;491.8;0.639;0.638;0.639;0.637;0.639;0.638;0.638;0.637;0.95;0.949;0.951;0.948;0.95;0.949;0.949;0.948
0.798;0.798;0.799;0.798;0.133;0.133;0.133;0.133;0.665;0.665;0.666;0.665;0.017;0.023;0.024;0.032;0.015;0.015;0.015;0.015;-2e-04;7e-04;-4e-04;0.0133;0.0134;0.0246;23.988;24.003;24.006;24.013;1.188;1.193;1.696;535.8;535.8;536.2;267.9;535.8;535.9;535.8;536;0.639;0.638;0.639;0.637;0.639;0.638;0.638;0.637;0.95;0.949;0.951;0.949;0.95;0.949;0.949;0.949
