"p_C_BP_True";"p_C_BP_Ref";"p_C_BP_New";"p_I_BP_True";"p_I_BP_Ref";"p_I_BP_New";"treatment_True";"treatment_Ref";"treatment_New";"SD_p_C_BP_True";"SD_p_C_BP_Ref";"SD_p_C_BP_New";"SD_p_I_BP_True";"SD_p_I_BP_Ref";"SD_p_I_BP_New";"Bias_Treat_Ref";"Bias_Treat_New";"RMSE_Treat_Ref";"RMSE_Treat_New";"CutOff_True";"CutOff_Ref";"CutOff_New";"groupsize_C_BP_True";"groupsize_C_BP_Ref";"groupsize_C_BP_New";"groupsize_I_BP_True";"groupsize_I_BP_Ref";"groupsize_I_BP_New";"specificity_C_True";"specificity_C_Ref";"specificity_C_New";"specificity_I_True";"specificity_I_Ref";"specificity_I_New";"sensitivity_C_True";"sensitivity_C_Ref";"sensitivity_C_New";"sensitivity_I_True";"sensitivity_I_Ref";"sensitivity_I_New";"SD_CutOff_Ref";"SD_CutOff_New"
0.317;0.322;0.324;0.211;0.215;0.214;0.106;0.108;0.11;0.025;0.048;0.052;0.022;0.035;0.035;0.0016;0.0043;0.0161;0.0177;23.988;24.21;24.174;337.2;336.3;337.5;337.1;336.1;337;0.639;0.639;0.639;0.639;0.64;0.638;0.95;0.946;0.954;0.95;0.946;0.946;2.378;2.409
0.397;0.399;0.402;0.198;0.2;0.2;0.198;0.2;0.202;0.026;0.046;0.05;0.021;0.028;0.028;0.0013;0.0039;0.0206;0.022;23.988;24.09;24.123;359.3;359.9;359.7;359.2;359.6;359.1;0.639;0.637;0.639;0.639;0.638;0.638;0.95;0.947;0.953;0.95;0.948;0.947;2.062;2.08
0.467;0.469;0.471;0.187;0.187;0.187;0.28;0.281;0.284;0.026;0.044;0.047;0.02;0.025;0.025;0.0012;0.0033;0.0225;0.0235;23.988;24.078;24.091;381.4;381.6;381.8;381.3;381.4;381.2;0.639;0.638;0.639;0.639;0.638;0.638;0.95;0.948;0.953;0.95;0.948;0.948;1.85;1.865
0.53;0.531;0.533;0.177;0.177;0.177;0.353;0.354;0.356;0.025;0.041;0.044;0.019;0.022;0.022;0.0011;0.0028;0.023;0.0234;23.988;24.072;24.079;403.4;403.2;403.6;403.3;403.2;403.1;0.639;0.638;0.639;0.639;0.638;0.639;0.95;0.948;0.952;0.95;0.948;0.948;1.701;1.697
0.637;0.637;0.639;0.159;0.159;0.159;0.477;0.478;0.479;0.023;0.034;0.037;0.017;0.018;0.018;4e-04;0.0018;0.0204;0.0207;23.988;24.04;24.052;447.5;447.4;447.7;447.6;447.5;447.3;0.639;0.638;0.639;0.639;0.638;0.639;0.95;0.949;0.952;0.95;0.949;0.949;1.455;1.462
0.724;0.724;0.725;0.145;0.145;0.145;0.579;0.579;0.58;0.02;0.029;0.03;0.016;0.016;0.016;-1e-04;0.001;0.017;0.0173;23.988;24.007;24.017;491.6;491.7;492.1;491.6;491.7;491.6;0.639;0.638;0.639;0.639;0.638;0.638;0.95;0.949;0.951;0.95;0.949;0.949;1.306;1.305
0.798;0.798;0.799;0.133;0.133;0.133;0.665;0.665;0.666;0.017;0.023;0.024;0.015;0.015;0.015;-2e-04;7e-04;0.0133;0.0134;23.988;24.003;24.006;535.8;535.8;536.2;535.8;535.9;535.8;0.639;0.638;0.639;0.639;0.638;0.638;0.95;0.949;0.951;0.95;0.949;0.949;1.188;1.193
